PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
99,32.5958651,129.3001557,0,-41.565,40.423,1,4929,34,90
100,32.5958661,129.3000942,0,-41.234,24.458,1,4929,34,90
101,32.5958662,129.3000184,0,-41.203,4.776,1,4929,34,90
102,32.5958656,129.2959603,0,-41.4,-10.293,1,4929,33,99
103,32.595867,129.2959571,0,-40.964,-11.131,1,4929,33,99
104,32.5959018,129.2959565,0,-30.245,-11.286,1,4929,33,99
105,32.5959506,129.2959569,0,-15.219,-11.197,1,4929,33,99
106,32.595988,129.2959562,0.117,-3.695,-11.367,1,4929,33,99
107,33.0002638,129.3001856,0,81.246,48.184,1,4929,44,0
108,33.0002045,129.3001857,0,62.988,48.2,1,4929,44,0
109,33.0001608,129.3001853,0,49.522,48.103,1,4929,44,0
112,33.0001585,129.300188,0,48.817,48.786,1,4929,44,0
113,33.0001587,129.3002542,0,48.873,65.983,1,4929,44,0
114,33.0001588,129.3003457,0,48.929,89.74,1,4929,44,0
115,33.0001584,129.300397,0,48.808,103.036,1,4929,44,0
116,32.5959882,129.3001863,0,-3.629,48.355,1,4929,34,90
117,32.5959883,129.3004073,0,-3.589,105.724,1,4929,34,90
118,32.5958678,129.3004085,0,-40.712,106.028,1,4929,34,90
119,32.5958668,129.3003381,0,-41.025,87.77,1,4929,34,90
120,32.5958657,129.3001871,0,-41.372,48.56,1,4929,34,90
121,32.5959884,129.3001864,0,-3.568,48.376,1,4929,34,90
122,33.0001344,129.3001867,0,41.396,48.453,1,4929,44,0
123,33.0001344,129.300337,0,41.397,87.463,1,4929,44,0
124,33.000134,129.3004021,0,41.288,104.369,1,4929,44,0
125,33.0001303,129.3004086,0,40.146,106.055,1,4929,44,0
126,33.0000124,129.3004076,0,3.812,105.787,1,4929,44,0
127,33.0000126,129.3002433,0,3.877,63.157,1,4929,44,0
128,33.0000125,129.3001871,0,3.865,48.563,1,4929,44,0
129,33.0000475,129.3001868,0,14.647,48.489,1,4929,44,0
130,33.0001344,129.3001866,0,41.401,48.422,1,4929,44,0
131,32.5958422,129.2959552,0,-48.611,-11.639,1,4929,33,99
132,32.5958422,129.295959,0,-48.611,-10.639,1,4929,33,99
133,32.5958423,129.300019,0,-48.58,4.922,1,4929,34,90
134,32.5958422,129.3000952,0,-48.623,24.723,1,4929,34,90
135,32.595842,129.3001594,0,-48.666,41.387,1,4929,34,90
136,32.5957931,129.3001596,0,-63.723,41.437,1,4929,34,90
137,32.5957443,129.3001598,0,-78.78,41.487,1,4929,34,90
138,32.5958425,129.3001878,0,-48.517,48.747,1,4929,34,90
139,32.595843,129.3002553,0,-48.355,66.265,1,4929,34,90
142,32.5959999,129.2959563,0,-0.025,-11.331,1,4929,33,99
143,33.0000001,129.3001451,0.009,0.024,37.676,1,4929,44,0
144,33.0000003,129.3001998,0,0.082,51.869,1,4929,44,0
145,33.0000002,129.3004086,0,0.073,106.059,1,4929,44,0
148,33.0001458,129.2959563,0,44.918,-11.355,1,4929,43,9
149,33.0001457,129.3000961,0.159,44.88,24.94,1,4929,44,0
150,33.0001456,129.3001555,0,44.862,40.352,1,4929,44,0
153,33.000146,129.300187,0,44.979,48.541,1,4929,44,0
154,33.0001458,129.3003949,0,44.925,102.505,1,4929,44,0
155,32.5958432,129.3003379,0,-48.29,87.696,1,4929,34,90
156,32.595844,129.3004089,0,-48.052,106.125,1,4929,34,90
157,32.5958537,129.2959575,0,-45.076,-11.022,1,4929,33,99
158,32.5958536,129.3001552,0,-45.083,40.296,1,4929,34,90
160,32.5958542,129.3001879,0,-44.902,48.784,1,4929,34,90
161,32.5958556,129.3004078,0,-44.485,105.861,1,4929,34,90
162,33.0002632,129.3001717,0,81.083,44.58,1,4929,44,0
163,33.0001589,129.3001713,0,48.957,44.458,1,4929,44,0
164,33.0001329,129.3001716,0,40.952,44.53,1,4929,44,0
165,33.0000123,129.3001732,0,3.795,44.945,1,4929,44,0
166,32.5959883,129.3001729,0,-3.59,44.871,1,4929,34,90
167,32.5958652,129.3001724,0,-41.534,44.745,1,4929,34,90
168,33.0000138,129.2959415,-0.074,4.258,-15.192,1,4929,43,9
169,33.000133,129.2959419,-0.074,40.98,-15.072,1,4929,43,9
170,32.5959885,129.295942,0,-3.546,-15.048,1,4929,33,99
171,32.5958666,129.2959427,0,-41.077,-14.883,1,4929,33,99
178,33.0000121,129.3001877,0,3.719,48.725,1,4929,44,0
178,33.0000121,129.3001877,0,3.719,48.725,1,4929,44,0
179,33.000012,129.3001979,0,3.709,51.362,1,4929,44,0
180,32.5959883,129.3001979,0,-3.59,51.376,1,4929,34,90
181,33.0000112,129.3001471,0,3.461,38.175,1,4929,44,0
181,33.0000112,129.3001471,0,3.461,38.175,1,4929,44,0
182,33.0000111,129.3001576,0,3.431,40.903,1,4929,44,0
183,33.0000094,129.3001576,0,2.903,40.9,1,4929,44,0
54752,35.5959891,137.1001633,0,-3.367,40.897,7,5337,71,93
54753,35.5959891,137.1001524,0,-3.346,38.154,7,5337,71,93
54754,32.5959884,129.3001876,0,-3.564,48.699,1,4929,34,90
54759,33.0000094,129.3001878,0,2.888,48.734,1,4929,44,0
54759,33.0000094,129.3001878,0,2.888,48.734,1,4929,44,0
54760,33.0000092,129.3001979,0,2.845,51.36,1,4929,44,0
54761,33.0000067,129.3001979,0,2.068,51.374,1,4929,44,0
54762,33.0000069,129.3001878,0,2.113,48.74,1,4929,44,0
54763,33.0000042,129.3001878,0,1.301,48.734,1,4929,44,0
54763,33.0000042,129.3001878,0,1.301,48.734,1,4929,44,0
54764,33.0000042,129.3001979,0,1.285,51.373,1,4929,44,0
54765,33.0000014,129.3001979,0,0.431,51.372,1,4929,44,0
54766,33.0000014,129.3001877,0,0.429,48.731,1,4929,44,0
54767,32.595999,129.3001876,0,-0.319,48.686,1,4929,34,90
54767,32.595999,129.3001876,0,-0.319,48.686,1,4929,34,90
54768,32.595999,129.3001979,0,-0.321,51.357,1,4929,34,90
54769,32.5959964,129.3001979,0,-1.105,51.365,1,4929,34,90
54770,32.5959964,129.3001876,0,-1.122,48.697,1,4929,34,90
