PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
127,0,0,0,-7.9,108.03,0,0,0,0
128,0,0,0,-8.9,108.03,0,0,0,0
129,0,0,0,-9.9,108.03,0,0,0,0
130,0,0,0,-10.9,108.03,0,0,0,0
131,0,0,0,-11.9,108.03,0,0,0,0
132,0,0,0,-12.9,108.03,0,0,0,0
133,0,0,0,-13.9,108.03,0,0,0,0
134,0,0,0,-14.9,108.03,0,0,0,0
135,0,0,0,-15.9,108.03,0,0,0,0
136,0,0,0,-16.9,108.02,0,0,0,0
137,0,0,0,-17.9,108.02,0,0,0,0
138,0,0,0,-18.9,108.02,0,0,0,0
139,0,0,0,-19.9,108.02,0,0,0,0
140,0,0,0,-20.9,108.02,0,0,0,0
141,0,0,0,-21.9,108.02,0,0,0,0
142,0,0,0,-22.9,108.02,0,0,0,0
143,0,0,0,-23.9,108.02,0,0,0,0
144,0,0,0,-24.9,108.02,0,0,0,0
145,0,0,0,-25.9,108.02,0,0,0,0
146,0,0,0,-26.9,108.02,0,0,0,0
147,0,0,0,-27.9,108.02,0,0,0,0
148,0,0,0,-28.9,108.02,0,0,0,0
149,0,0,0,-29.9,108.02,0,0,0,0
150,0,0,0,-30.9,108.02,0,0,0,0
151,0,0,0,-31.9,108.01,0,0,0,0
152,0,0,0,-32.9,108.01,0,0,0,0
153,0,0,0,-33.9,108.01,0,0,0,0
154,0,0,0,-34.9,108.01,0,0,0,0
155,0,0,0,-35.9,108.01,0,0,0,0
156,0,0,0,-36.9,108.01,0,0,0,0
157,0,0,0,-37.9,108.01,0,0,0,0
158,0,0,0,-38.9,108.01,0,0,0,0
159,0,0,0,-39.9,108.01,0,0,0,0
160,0,0,0,-40.57,108.01,0,0,0,0
161,0,0,0,-41.57,108.01,0,0,0,0
162,0,0,0,-42.57,108.01,0,0,0,0
163,0,0,0,-43.57,108.01,0,0,0,0
164,0,0,0,-44.57,108.01,0,0,0,0
165,0,0,0,-45.57,108.01,0,0,0,0
166,0,0,0,-46.57,108.01,0,0,0,0
167,0,0,0,-47.57,108.01,0,0,0,0
168,0,0,0,-48.11,108.01,0,0,0,0
